restaurant,category,name,description,price_cents,currency,image_url,item_url
Windham Junction,Menu,Big Club Sandwich,Toasted wheat triple decker with your choice of,1399,USD,https://windhamjunction.com/wp-content/uploads/2026/01/IMG_5963-2-600x600.jpg,
Windham Junction,Menu,BLT,On toasted wheat with mayo.,999,USD,https://windhamjunction.com/wp-content/uploads/2026/01/IMG_5956-600x600.jpg,
Windham Junction,Menu,Buffalo Chicken Finger Wrap,"With bleu cheese dressing, spicy sauce and romaine lettuce.",1099,USD,https://windhamjunction.com/wp-content/uploads/2026/01/IMG_5955-600x600.jpg,
Windham Junction,Menu,Chicken Salad Sandwich,"House-made chicken salad with dried Cranberries, and sprinkled with toasted almonds on a hearty wheat berry bread. Served with chips.",1099,USD,https://windhamjunction.com/wp-content/uploads/2026/01/IMG_6071-2-scaled-e1772118961642-600x600.jpg,
Windham Junction,Menu,Egg Salad Sandwich,On country white bread with lettuce.,1099,USD,https://windhamjunction.com/wp-content/uploads/2026/01/IMG_6080-600x600.jpg,
Windham Junction,Menu,Fresh Angus Burger,,999,USD,https://windhamjunction.com/wp-content/uploads/2026/02/IMG_1235-600x600.jpg,
Windham Junction,Menu,Fresh Veggie Wheat Wrap,Seasonal vegetables grilled with cheese or wrapped up cold with a hummus mayo spread.,1099,USD,https://windhamjunction.com/wp-content/uploads/2026/02/IMG_5928-2-600x600.jpg,
Windham Junction,Menu,Grilled Cheese with Tomato,Grilled cheese with fresh tomato slices.,899,USD,https://windhamjunction.com/wp-content/uploads/2026/02/IMG_5927-2-600x600.jpg,
Windham Junction,Menu,Grilled Chicken Caesar Wrap,"All white chicken breast on a white wrap with romaine lettuce, shredded parmesan cheese and homemade croutons.",1099,USD,https://windhamjunction.com/wp-content/uploads/2026/01/IMG_5949-600x600.jpg,
Windham Junction,Menu,Grilled Meatloaf Sandwich,"Generations' favorite, old fashioned flavor served on a grilled onion roll with bacon and ketchup.",1099,USD,https://windhamjunction.com/wp-content/uploads/2026/01/IMG_6077-600x600.jpg,
Windham Junction,Menu,Grilled Reuben Sandwich,Juicy corned beef or turkey grilled on marbled rye with sauerkraut and melted Swiss topped with 1000 island dressing.,1199,USD,https://windhamjunction.com/wp-content/uploads/2026/01/IMG_6073-600x600.jpg,
Windham Junction,Menu,Hometown Italian Sub,"Delicious blend of mortadella, capicola ham, and salami with provolone cheese on a toasted sub roll, topped with chopped lettuce, tomato, onion and seasoned Italian oil.",1199,USD,https://windhamjunction.com/wp-content/uploads/2026/01/IMG_6086-600x600.jpg,
Windham Junction,Menu,Hot Pastrami Rachel Sandwich,"With coleslaw, Swiss cheese, 1000 island dressing on marbled rye bread.",1299,USD,https://windhamjunction.com/wp-content/uploads/2026/01/IMG_6050-600x600.jpg,
Windham Junction,Menu,Hot Pastrami Sandwich,Grilled to perfection with Swiss cheese on marbled rye with spicy brown mustard.,1199,USD,https://windhamjunction.com/wp-content/uploads/2026/01/IMG_5948-600x600.jpg,
Windham Junction,Menu,Jon's Homemade Meatball Sub,Topped with provolone cheese.,1099,USD,https://windhamjunction.com/wp-content/uploads/2026/01/IMG_5967-600x600.jpg,
Windham Junction,Menu,Sliced Roast Beef Onion Roll,"On a soft homemade onion roll with provolone cheese, lettuce, tomato and seasoned with a horseradish spread.",1199,USD,https://windhamjunction.com/wp-content/uploads/2026/01/IMG_5968-600x600.jpg,
Windham Junction,Menu,Smokey BBQ Pulled Pork Sub,Slow-cooked pulled pork with BBQ sauce.,999,USD,https://windhamjunction.com/wp-content/uploads/2026/01/IMG_5965-600x600.jpg,
Windham Junction,Menu,The Roast Turkey Feast,"Grilled stuffing, cranberry sauce, lettuce, mayo and roasted turkey on our home baked sub roll.",1099,USD,https://windhamjunction.com/wp-content/uploads/2026/02/IMG_5952-600x600.jpg,
Windham Junction,Menu,The Rooster Wrap,"Fried or grilled chicken, bacon, hard-boiled egg, lettuce, tomato and avocado dressed with honey mustard dressing in a flour tortilla wrap.",1199,USD,https://windhamjunction.com/wp-content/uploads/2026/01/IMG_5945-600x600.jpg,
Windham Junction,Menu,Tuna Salad Sandwich,"The best of albacore white tuna, simply mixed with mayo and our special seasoning. Served on wheat bread with lettuce and tomato.",1099,USD,https://windhamjunction.com/wp-content/uploads/2026/01/IMG_6085-600x600.jpg,
Windham Junction,Menu,Turkey BLT,"House roasted Turkey breast, sliced with bacon, lettuce and tomato on toasted wheat with mayo.",1299,USD,https://windhamjunction.com/wp-content/uploads/2026/01/IMG_6049-600x600.jpg,
